,Target Path,RMSD,Length1,TMscore1,Length2,TMscore2,maxTMscore
72069,/gpfs/alpine/bif135/proj-shared/rbd_work/databases/PDB70/pdb70_2022_03_19/rbd_work/pdb70_2022_03_19_structures/structure_dir/2K1O_B.pdb,2.97,108.0,0.33117,54.0,0.52599,0.52599
9719,/gpfs/alpine/bif135/proj-shared/rbd_work/databases/PDB70/pdb70_2022_03_19/rbd_work/pdb70_2022_03_19_structures/structure_dir/3ZS9_C.pdb,2.37,108.0,0.19211,31.0,0.52021,0.52021
48800,/gpfs/alpine/bif135/proj-shared/rbd_work/databases/PDB70/pdb70_2022_03_19/rbd_work/pdb70_2022_03_19_structures/structure_dir/1X93_B.pdb,2.55,108.0,0.27282,43.0,0.51408,0.51408
35083,/gpfs/alpine/bif135/proj-shared/rbd_work/databases/PDB70/pdb70_2022_03_19/rbd_work/pdb70_2022_03_19_structures/structure_dir/5XXF_D.pdb,2.67,108.0,0.17679,31.0,0.51248,0.51248
72247,/gpfs/alpine/bif135/proj-shared/rbd_work/databases/PDB70/pdb70_2022_03_19/rbd_work/pdb70_2022_03_19_structures/structure_dir/6DZK_B.pdb,2.65,108.0,0.19044,32.0,0.51203,0.51203
59499,/gpfs/alpine/bif135/proj-shared/rbd_work/databases/PDB70/pdb70_2022_03_19/rbd_work/pdb70_2022_03_19_structures/structure_dir/5VT9_C.pdb,3.32,108.0,0.18845,30.0,0.50889,0.50889
2609,/gpfs/alpine/bif135/proj-shared/rbd_work/databases/PDB70/pdb70_2022_03_19/rbd_work/pdb70_2022_03_19_structures/structure_dir/1PAR_B.pdb,3.35,108.0,0.30096,53.0,0.50559,0.50559
31495,/gpfs/alpine/bif135/proj-shared/rbd_work/databases/PDB70/pdb70_2022_03_19/rbd_work/pdb70_2022_03_19_structures/structure_dir/5O61_BB.pdb,2.99,108.0,0.19063,32.0,0.49753,0.49753
20029,/gpfs/alpine/bif135/proj-shared/rbd_work/databases/PDB70/pdb70_2022_03_19/rbd_work/pdb70_2022_03_19_structures/structure_dir/5O5J_B.pdb,2.55,108.0,0.18907,32.0,0.49704,0.49704
83097,/gpfs/alpine/bif135/proj-shared/rbd_work/databases/PDB70/pdb70_2022_03_19/rbd_work/pdb70_2022_03_19_structures/structure_dir/7RCV_m.pdb,2.4,108.0,0.17866,30.0,0.49563,0.49563
4817,/gpfs/alpine/bif135/proj-shared/rbd_work/databases/PDB70/pdb70_2022_03_19/rbd_work/pdb70_2022_03_19_structures/structure_dir/5MRC_11.pdb,3.11,108.0,0.19301,34.0,0.49299,0.49299
38421,/gpfs/alpine/bif135/proj-shared/rbd_work/databases/PDB70/pdb70_2022_03_19/rbd_work/pdb70_2022_03_19_structures/structure_dir/5ZCX_A.pdb,2.96,108.0,0.17436,31.0,0.49287,0.49287
64096,/gpfs/alpine/bif135/proj-shared/rbd_work/databases/PDB70/pdb70_2022_03_19/rbd_work/pdb70_2022_03_19_structures/structure_dir/7A4Y_D.pdb,2.69,108.0,0.17114,29.0,0.49107,0.49107
37217,/gpfs/alpine/bif135/proj-shared/rbd_work/databases/PDB70/pdb70_2022_03_19/rbd_work/pdb70_2022_03_19_structures/structure_dir/3KSX_A.pdb,4.2,108.0,0.49082,289.0,0.22681,0.49082
